incident_id,date,n_killed,n_injured,latitude,longitude,n_guns_involved,participan_age,participant_gendre,participant_status,,,,,,,,,,,,,,,,,,,,,,,,,,
141963,27/05/2014,0,0,0.453485131,0.856019502,0,1::23,0::Male||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
142170,27/05/2014,0,0,0.5351593,0.739519856,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
184441,27/05/2014,0,0,0.539783761,0.764399693,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139598,27/05/2014,0,0,0.692380188,0.729283326,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140060,27/05/2014,0,1,0.664276156,0.895298767,0,0::23,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140030,27/05/2014,1,0,0.625919156,0.933721277,0,0::20,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139819,27/05/2014,0,1,0.539833039,0.765133449,0,0::16,0::Female,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139452,27/05/2014,0,1,0.615270422,0.83768939,0,0::27,0::Female,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
148809,27/05/2014,0,0,0.564074885,0.876376985,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139821,27/05/2014,0,1,0.644923642,0.787928656,0,0::24,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140887,27/05/2014,0,0,0.585900553,0.821966657,0,1::20,0::Male||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139433,27/05/2014,0,1,0.614634424,0.829885282,0,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
148348,27/05/2014,0,0,0.591746192,0.844591148,0,1::17||2::26,1::Male||2::Male,1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140860,27/05/2014,0,0,0.551930863,0.901367097,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141007,27/05/2014,1,0,0.544123331,0.86096069,0,0::18||1::19,0::Male||1::Male,0::Killed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140333,27/05/2014,0,0,0.540033232,0.853263676,0,1::20,0::Male||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139567,27/05/2014,0,0,0.605106772,0.90607183,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139618,27/05/2014,0,2,0.622948598,0.87169558,0,1::20,0::Male||1::Male,0::Injured||1::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140842,27/05/2014,0,1,0.630060073,0.935587477,0,0::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139383,27/05/2014,0,0,0.59963842,0.902166594,0,1::20,0::Male||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
179169,27/05/2014,0,0,0.636072026,0.94527263,0,0::23,0::Male,0::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140000,27/05/2014,0,1,0.629300879,0.934680885,0,1::20,0::Male||1::Female||2::Male,0::Injured||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140831,27/05/2014,0,1,0.554752045,0.881773059,0,0::62,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139376,27/05/2014,0,0,0.701445856,0.419598067,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
147591,27/05/2014,0,1,0.542169139,0.862513029,0,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139766,27/05/2014,1,0,0.638354228,0.853098263,0,0::30,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
184442,27/05/2014,0,0,0.514876658,0.530859629,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140324,27/05/2014,0,1,0.461423558,0.763325568,0,0::24,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
147335,27/05/2014,0,0,0.647997376,0.965384114,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139757,27/05/2014,0,1,0.53602629,0.788977333,0,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140322,27/05/2014,0,1,0.461126348,0.763514309,0,0::36||1::22,0::Male||1::Female,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139342,27/05/2014,1,2,0.562987682,0.453942506,0,0::22||1::8||2::13||3::18||4::21||5::18,4::Male||5::Male,0::Injured||1::Unharmed||2::Unharmed||3::Unharmed||4::Killed||5::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
147854,27/05/2014,0,0,0.693073164,0.415897478,0,0::69,0::Male,0::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
